Comune;Casi;Abitanti;Percentuale;Sportelli bancari;Indice esposizione sportello;latitudine;longitudine
Torrevecchia Pia;23;3519;0,65;1;0,65;452.829.814;92.975.185
Suardi;4;612;0,65;;;450.356.296;87.440.740
Borgarello;17;2704;0,62;;;452.405.490;91.423.390
Pieve Del Cairo;12;1930;0,62;2;0,31;450.509.444;88.053.333
Sant’alessio Con Vialone;6;970;0,61;;;452.234.629;92.272.037
Carbonara Al Ticino;9;1459;0,61;;;451.667.407;90.626.666
Travaco’ Siccomario;27;4380;0,61;;;451.500.000;91.607.962
Battuda;4;661;0,6;;;452.749.261;90.778.600
Barbianello;5;847;0,59;;;450.771.979;92.057.926
Bascape’;10;1719;0,58;;;453.078.900;93.124.800
San Giorgio Di Lomellina;6;1055;0,56;;;451.759.629;87.912.592
Bereguardo;15;2664;0,56;1;0,56;452.581.481;90.284.444
Confienza;9;1599;0,56;;;453.332.328;85.571.768
Borgo Priolo;8;1458;0,54;;;449.674.447;91.490.201
Copiano;9;1679;0,53;1;0,53;451.973.703;93.236.111
Torre D’arese;5;944;0,52;;;452.437.592;93.184.444
Magherno;9;1705;0,52;1;0,52;452.245.370;93.304.814
Lardirago;6;1143;0,52;;;452.361.111;92.331.296
Sommo;6;1158;0,51;;;451.279.057;90.823.172
Bornasco;14;2711;0,51;1;0,51;452.675.000;92.190.740
Zerbolo’;9;1761;0,51;;;452.071.884;90.142.136
Zinasco;16;3147;0,5;1;0,5;451.292.321;90.313.318
Canneto Pavese;7;1379;0,5;1;0,5;450.514.074;92.798.518
Tromello;19;3770;0,5;1;0,5;452.114.518;88.702.246
San Martino Siccomario;32;6439;0,49;2;0,24;451.620.555;91.370.370
Giussago;26;5304;0,49;1;0,49;452.857.962;91.418.888
Siziano;30;6128;0,48;2;0,24;453.153.148;92.042.222
Torricella Verzate;4;833;0,48;;;450.198.433;91.765.774
Landriano;30;6417;0,46;2;0,23;453.129.814;92.612.777
Mezzana Bigli;5;1077;0,46;;;450.609.629;88.495.370
Ceranova;10;2239;0,44;;;452.612.592;92.442.222
Montalto Pavese;4;896;0,44;;;449.787.327;92.117.771
San Genesio Ed Uniti;17;3870;0,43;2;0,21;452.355.686;91.791.567
Trivolzio;10;2288;0,43;;;452.595.555;90.439.259
Torre D’isola;10;2425;0,41;;;451.506.296;93.356.296
Corvino San Quirico;4;1022;0,39;;;450.128.354;91.610.039
Mede;25;6524;0,38;6;0,06;450.989.259;87.370.370
Santa Maria Della Versa;7;2293;0,3;2;0,15;449.901.666;92.973.703
Palestro;4;1897;0,21;;;453.020.893;85.325.468
Albaredo Arnaboldi;;233;;;;451.070.506;92.428.207
Calvignano;;111;;;;449.832.940;91.662.881
San Zenone Al Po;;569;;;;451.094.353;93.618.350
Sant’angelo Lomellina;;787;;;;452.479.452;86.450.217
Brallo Di Pregola;;553;;;;447.382.271;92.810.462
Bosnasco;;619;;;;450.654.814;93.598.518
Scaldasole;;909;;;;451.268.888;89.107.962
Borgoratto Mormorolo;;417;;;;449.317.407;91.943.888
Semiana;;207;;;;451.375.991;87.322.899
San Cipriano Po;;478;;;;451.100.185;92.840.740
Zerbo;;404;;;;451.114.074;93.972.037
Rognano;;640;;;;452.888.936;90.903.723
Trovo;;1018;;;;452.839.074;90.365.740
Val Di Nizza;;625;;;;448.780.915;91.655.973
Valeggio;;217;;;;451.517.407;88.611.111
Velezzo Lomellina;;95;;;;451.641.308;87.377.386
Verretto;;372;;;;450.407.835;91.070.046
Villa Biscossi;;72;;;;450.906.316;87.877.401
Badia Pavese;;359;;;;451.218.888;94.698.703
Volpara;;125;;;;449.540.740;92.979.814
Zenevredo;;474;;;;450.550.083;93.271.112
Silvano Pietra;;668;;;;450.414.259;89.489.074
Cecima;;227;;;;448.517.407;90.814.074
Fortunago;;360;;;;449.216.102;91.854.710
Galliavola;;195;;;;450.980.389;88.187.423
Corana;;810;;;;450.626.666;89.695.555
Gambarana;;202;;;;450.293.888;87.645.555
Golferenzo;;193;;;;449.620.370;93.070.370
Colli Verdi;;1088;;;;449.290.000;92.741.000
Codevilla;;979;;1;;449.645.370;90.573.703
Langosco;;368;;;;452.158.648;85.619.115
Lirio;;130;;;;449.949.299;92.562.084
Mezzana Rabattone;;479;;;;450.959.629;90.323.518
Alagna;;836;;;;451.693.430;88.901.770
Rosasco;;574;;1;;452.518.904;85.800.950
Mornico Losana;;612;;;;450.101.903;92.067.482
Rovescala;;883;;;;450.079.814;93.470.555
Nicorvo;;294;;;;452.853.559;86.677.915
Olevano Di Lomellina;;710;;;;452.148.551;87.178.408
Castello D’agogna;;1145;;;;452.328.011;86.897.371
Oliva Gessi;;162;;;;450.035.702;91.791.456
Pancarana;;300;;;;450.756.481;90.517.222
Pieve Albignola;;860;;;;451.139.259;89.625.000
Rocca De’ Giorgi;;84;;;;449.706.046;92.538.639
Rocca Susella;;218;;;;449.125.781;90.962.047
Cozzo;;372;;;;451.932.218;86.123.405
Casanova Lonati;;437;;;;450.954.814;92.145.370
Montecalvo Versiggia;;532;;;;449.724.866;92.847.883
Ceretto Lomellina;;188;;;;452.463.919;86.726.586
